,accuracy,predictive_entropy_roc_auc,predictive_entropy,mutual_information_roc_auc,mutual_information,margin_roc_auc,margin,std_averaged_over_ensemble_roc_auc,std_averaged_over_ensemble,std_roc_auc,std,maxprob_roc_auc,maxprob
LargeKitchenAppliances,0.8853332996368408,0.7685626225833566,0.6083140969276428,0.7841832446063324,0.6500211358070374,0.764009526478005,0.6039701104164124,0.7848837209302326,0.644510805606842,0.7692630989072569,0.6098566651344299,0.7669515270383861,0.607512354850769
Lightning2,0.7049179673194885,0.7028423772609819,0.5452919602394104,0.7067183462532299,0.5421784520149231,0.7028423772609819,0.5452919602394104,0.7054263565891473,0.5403818488121033,0.7028423772609819,0.5452919602394104,0.7028423772609819,0.5452919602394104
Lightning7,0.8082191944122314,0.612590799031477,0.3325327634811401,0.5871670702179177,0.3260654509067535,0.6101694915254237,0.3328773975372314,0.5750605326876513,0.289940595626831,0.6101694915254238,0.3322228491306305,0.6101694915254238,0.3322228491306305
Mallat,0.9262259602546692,0.8985112679504786,0.87929368019104,0.8636349120173729,0.8187877535820007,0.9048531493841748,0.8856071829795837,0.8916823683454156,0.8629059791564941,0.9029795931402294,0.8839806318283081,0.9039083873577534,0.8849655985832214
Meat,0.98333340883255,0.9322033898305084,0.9450687170028688,0.9152542372881356,0.9260964393615724,0.9322033898305084,0.9450687170028688,0.9322033898305084,0.9450687170028688,0.9322033898305084,0.9450687170028688,0.9322033898305084,0.9450687170028688
MedicalImages,0.7157894968986511,0.7947048611111112,0.7014960050582886,0.7550806781045751,0.6256000995635986,0.8118617238562092,0.72834312915802,0.7821180555555556,0.6763390302658081,0.8067555147058824,0.7177633047103882,0.8108149509803924,0.7224786281585693
MiddlePhalanxOutlineAgeGroup,0.551948070526123,0.5164535379369138,0.075548231601715,0.4644501278772378,0.0018068178324028,0.5295822676896845,0.1071143746376037,0.49769820971867,0.0716973543167114,0.5258312020460357,0.0907752439379692,0.5254901960784314,0.0916193425655365
MiddlePhalanxOutlineCorrect,0.8144329786300659,0.7529301453352086,0.6049359440803528,0.728473198937334,0.5752623677253723,0.7529301453352086,0.6049359440803528,0.7403500546960462,0.5927276611328125,0.7529301453352086,0.6049359440803528,0.7529301453352086,0.6049359440803528
MiddlePhalanxTW,0.5584415793418884,0.7948016415868673,0.7289005517959595,0.8271203830369357,0.7658319473266602,0.7694938440492475,0.7040529847145081,0.8290013679890561,0.7688854932785034,0.7915526675786593,0.7250596880912781,0.7848837209302325,0.7196510434150696
MoteStrain,0.8282747268676758,0.7624812181830414,0.5677041411399841,0.606492341503891,0.3521123826503753,0.7624587921329415,0.5676555633544922,0.626915745329775,0.3790621757507324,0.7624587921329415,0.5676555633544922,0.7624789755780315,0.5677041411399841
NonInvasiveFetalECGThorax1,0.9547073841094972,0.916910232145852,0.807264506816864,0.9148139718741766,0.8633671402931213,0.9223964447425792,0.8180529475212097,0.9223066050166504,0.8513212203979492,0.9246843630962364,0.8176825046539307,0.9260199803550466,0.8191048502922058
NonInvasiveFetalECGThorax2,0.9567430019378662,0.9040675844806008,0.8745918869972229,0.936226533166458,0.9299257397651672,0.9245807259073842,0.9001481533050537,0.940563204005006,0.9326250553131104,0.9184292866082604,0.8923611640930176,0.9222590738423028,0.8964544534683228
OSULeaf,0.8966941833496094,0.9329032258064516,0.9229885935783386,0.9317972350230416,0.924536108970642,0.935852534562212,0.9277204275131226,0.9382488479262672,0.9309867024421692,0.9375115207373272,0.9282439351081848,0.9371428571428572,0.927720069885254
OliveOil,0.9333333969116212,0.6428571428571429,0.4740383625030517,0.625,0.4235345125198364,0.6428571428571429,0.4740383625030517,0.625,0.4235345125198364,0.6428571428571429,0.4740383625030517,0.6428571428571429,0.4740383625030517
PhalangesOutlinesCorrect,0.8298368453979492,0.7444108819455133,0.5527778267860413,0.7092696629213482,0.5169247984886169,0.7444108819455133,0.5527778267860413,0.739071879328921,0.5591920614242554,0.7444108819455133,0.5527778267860413,0.7444108819455133,0.5527778267860413
Phoneme,0.2616033554077148,0.663140841013825,0.3071075975894928,0.6169657258064516,0.2623605132102966,0.6613853686635945,0.3106115758419037,0.6343332373271889,0.2866492569446563,0.6673631912442396,0.3150253891944885,0.669559331797235,0.3169868588447571
Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ProximalPhalanxOutlineAgeGroup,0.8243902325630188,0.7092373438527284,0.5226938724517822,0.6850756081525311,0.5143863558769226,0.7202498356344509,0.5473349690437317,0.7128533859303091,0.5457763671875,0.7161406969099278,0.5317420959472656,0.7163050624589086,0.5319333672523499
ProximalPhalanxOutlineCorrect,0.893470823764801,0.8606699751861043,0.8172516226768494,0.7790322580645161,0.716477632522583,0.8606699751861043,0.8172516226768494,0.8362282878411911,0.7951737642288208,0.8606699751861043,0.8172516226768494,0.8606699751861043,0.8172516226768494
ProximalPhalanxTW,0.800000011920929,0.6872397382510411,0.5212602615356445,0.6817370612730518,0.493797093629837,0.6887269482450922,0.5260117053985596,0.6809934562760263,0.5094358325004578,0.6872397382510409,0.522193431854248,0.6881320642474718,0.5228956937789917
RefrigerationDevices,0.5306666493415833,0.5895100502512562,0.1735126376152038,0.5723789401553221,0.1516837030649185,0.5944495203289173,0.1840028911828994,0.5906806761078118,0.176358550786972,0.5932503426222019,0.1792519092559814,0.5930504796710826,0.1792470216751098
ScreenType,0.3973333239555359,0.5526222011047098,0.0933896601200103,0.5419908534774603,0.1164103895425796,0.5713013007067768,0.1252162307500839,0.5436241610738255,0.1118718162178993,0.5636692997564886,0.1086377128958702,0.567886203005286,0.113551490008831
ShapeletSim,0.9833333492279052,0.96045197740113,0.964310109615326,0.9284369114877592,0.9301519989967346,0.96045197740113,0.964310109615326,0.9472693032015068,0.9501233100891112,0.96045197740113,0.964310109615326,0.96045197740113,0.964310109615326
ShapesAll,0.8650000095367432,0.8951925592901829,0.8492019176483154,0.900592307143367,0.8839322924613953,0.9003306453531245,0.865495502948761,0.9079426247056304,0.8936359882354736,0.9004020076595544,0.8598280549049377,0.9028759009491186,0.8623509407043457
SmallKitchenAppliances,0.8133333325386047,0.7768618266978923,0.6632541418075562,0.7668852459016393,0.6774476766586304,0.7651053864168618,0.6537243127822876,0.7831381733021079,0.6920499801635742,0.7733957845433256,0.6613182425498962,0.7698829039812646,0.6575874090194702
SonyAIBORobotSurface1,0.9517470598220824,0.9489992765854834,0.944864809513092,0.9467687484928864,0.9425269961357116,0.9489992765854836,0.944864809513092,0.9461056185194116,0.9417667388916016,0.9489992765854836,0.944864809513092,0.9489992765854836,0.944864809513092
SonyAIBORobotSurface2,0.8698845505714417,0.8531849488306937,0.8125002980232239,0.8636911942098915,0.8252471685409546,0.8531849488306937,0.8125002980232239,0.8612202809447838,0.8223589062690735,0.8531849488306937,0.8125002980232239,0.8531849488306937,0.8125002980232239
StarLightCurves,0.9708595871925354,0.9065595297648824,0.880094051361084,0.9226660205102551,0.9048672318458556,0.9050337668834416,0.8784695267677307,0.920836459896615,0.8996866941452026,0.9057309904952476,0.8792247772216797,0.905518384192096,0.8790105581283569
Strawberry,0.9486486911773682,0.8606987554355975,0.7644444108009338,0.7921727395411605,0.6792375445365906,0.8606987554355975,0.7644444108009338,0.8068675963412806,0.7021567821502686,0.8606987554355975,0.7644444108009338,0.8606987554355975,0.7644444108009338
SwedishLeaf,0.9359999895095824,0.912863247863248,0.9024129509925842,0.9334615384615386,0.9285888671875,0.9194871794871794,0.9091857671737672,0.9355982905982906,0.9304124712944032,0.9186752136752137,0.9087826013565063,0.9197435897435898,0.9098214507102966
