,accuracy,predictive_entropy_roc_auc,predictive_entropy,mutual_information_roc_auc,mutual_information,margin_roc_auc,margin,std_averaged_over_ensemble_roc_auc,std_averaged_over_ensemble,std_roc_auc,std,maxprob_roc_auc,maxprob
FordA,0.9439393877983093,0.8970868942779054,0.8672195076942444,0.8936163290095874,0.8651062250137329,0.8970868942779054,0.8672195076942444,0.8968049108498546,0.8678938150405884,0.8970868942779054,0.8672195076942444,0.8970868942779054,0.8672195076942444
FordB,0.7913580536842346,0.7792188610621348,0.7036789059638977,0.7781849735527882,0.7069025635719299,0.7792188610621348,0.7036789059638977,0.7785449879533642,0.7057809829711914,0.7792188610621348,0.7036789059638977,0.7792188610621348,0.7036789059638977
GunPoint,0.9933333396911621,0.9865771812080537,0.9931278228759766,0.9932885906040269,0.9999991059303284,0.9865771812080537,0.9931278228759766,0.9865771812080537,0.9931278228759766,0.9865771812080537,0.9931278228759766,0.9865771812080537,0.9931278228759766
Ham,0.7809523940086365,0.7237539766702015,0.43632081151008606,0.7274655355249205,0.463572233915329,0.7237539766702015,0.43632081151008606,0.7253446447507954,0.45206019282341003,0.7237539766702015,0.43632081151008606,0.7237539766702015,0.43632081151008606
HandOutlines,0.9486486911773682,0.7281451491977807,0.6069990396499634,0.7530364372469636,0.6649113893508911,0.7281451491977807,0.6069990396499634,0.7482381166591693,0.6548884510993958,0.7281451491977807,0.6069990396499634,0.7281451491977807,0.6069990396499634
Haptics,0.5357142686843872,0.634286925196016,0.22572872042655945,0.61186692095783,0.2168751209974289,0.6297096842551388,0.21954244375228882,0.6127569400296673,0.2118755578994751,0.6302182665819029,0.2187771201133728,0.6347107438016528,0.2220342457294464
Herring,0.671875,0.6489479512735327,0.34793877601623535,0.6423034330011074,0.38828757405281067,0.6489479512735327,0.34793877601623535,0.6489479512735326,0.39540550112724304,0.6489479512735327,0.34793877601623535,0.6489479512735327,0.34793877601623535
InlineSkate,0.401818186044693,0.6518725329739097,0.3610263168811798,0.629083057118101,0.3508726954460144,0.6420800726182453,0.35068267583847046,0.6357534830626195,0.35621774196624756,0.6510198187294557,0.3589955270290375,0.6489017865738766,0.3564792573451996
InsectWingbeatSound,0.6095960140228271,0.692252288558227,0.5023580193519592,0.6863102364280806,0.49206990003585815,0.705870563155204,0.5242162942886353,0.7018888308926691,0.519196629524231,0.7033111078004439,0.5192192196846008,0.7063593033737008,0.5231469869613647
ItalyPowerDemand,0.9484936594963074,0.8641548097742036,0.8163661956787109,0.8653727188369935,0.8220577836036682,0.8625889266934735,0.8141112327575684,0.8641741416640891,0.8173229098320007,0.8625889266934734,0.8141112327575684,0.8627145839777296,0.8148923516273499
LargeKitchenAppliances,0.8639999628067017,0.8013798111837327,0.6729421019554138,0.8496732026143791,0.7704790234565735,0.8018034374243523,0.674297571182251,0.8409586056644881,0.7464644908905029,0.8025296538368434,0.6737980246543884,0.8019849915274752,0.673222005367279
Lightning2,0.6885245442390442,0.711779448621554,0.5359945893287659,0.7180451127819549,0.5620627999305725,0.7080200501253133,0.49517059326171875,0.7142857142857143,0.5420660376548767,0.7080200501253133,0.49517059326171875,0.7086466165413534,0.5117208361625671
Lightning7,0.767123281955719,0.694327731092437,0.5467638373374939,0.7195378151260504,0.5883732438087463,0.7027310924369747,0.5598888993263245,0.7090336134453781,0.5773689150810242,0.7006302521008403,0.5568118691444397,0.7016806722689075,0.5578476786613464
Mallat,0.9283581972122192,0.8969748671172649,0.8759360313415527,0.8893136032548067,0.8636387586593628,0.8970158803071069,0.8753690123558044,0.8945250125773782,0.8710275292396545,0.8974752280333356,0.8761817812919617,0.8976119386661416,0.8763154745101929
Meat,0.9666666984558105,0.9482758620689655,0.9518164992332458,0.9396551724137931,0.9518164992332458,0.9482758620689655,0.9518164992332458,0.9396551724137931,0.9518164992332458,0.9482758620689655,0.9518164992332458,0.9482758620689655,0.9518164992332458
MedicalImages,0.7013158202171326,0.7931168434015754,0.6854804754257202,0.7269218371614417,0.5588126182556152,0.8153085766709921,0.7181516289710999,0.7756279392682099,0.6467323303222656,0.8074567529816268,0.7035630345344543,0.8142671768974552,0.7114217877388
MiddlePhalanxOutlineAgeGroup,0.551948070526123,0.5437340153452687,0.06535162776708603,0.5285592497868713,0.08721304684877396,0.548849104859335,0.08657751232385635,0.5444160272804774,0.09291300922632217,0.5532821824381927,0.08397167176008224,0.5490196078431373,0.08057789504528046
MiddlePhalanxOutlineCorrect,0.8109965920448303,0.7671032357473035,0.6385146379470825,0.7684899845916795,0.6602621078491211,0.7671032357473035,0.6385146379470825,0.7697226502311247,0.6526106595993042,0.7671032357473035,0.6385146379470825,0.7671032357473035,0.6385146379470825
MiddlePhalanxTW,0.5389610528945923,0.7997624300016968,0.7397981882095337,0.8153741727473274,0.7549575567245483,0.806210758527066,0.7447995543479919,0.8189377227218734,0.7611002326011658,0.8065501442389276,0.7463368773460388,0.8107924656371968,0.7517079710960388
MoteStrain,0.8426517248153687,0.8059374022662208,0.7215710282325745,0.8125436043014892,0.742422342300415,0.8048500012028772,0.702793538570404,0.8091418673466932,0.7300698757171631,0.8048403781846176,0.702793538570404,0.805153126278057,0.7052462697029114
NonInvasiveFetalECGThorax1,0.9516539573669434,0.9156487475372924,0.8279857635498047,0.9231016042780749,0.860852062702179,0.9229214748100196,0.83919358253479,0.9299296369265411,0.8645684123039246,0.9249817056009008,0.8401364088058472,0.9259048691246833,0.8411923050880432
NonInvasiveFetalECGThorax2,0.9526717662811279,0.9066606929510155,0.8839130401611328,0.9463342064148516,0.9413701891899109,0.9275055141990627,0.9091033935546875,0.9444789081885856,0.9363573789596558,0.9214226633581472,0.9020453095436096,0.925294090616671,0.9061961770057678
